Date,Close/Last,Volume,Open,High,Low
03/03/2021,$42.4785,2964530,$42.2143,$42.7681,$41.9399
03/02/2021,$42.0263,1488700,$42.1736,$42.4632,$41.7366
03/01/2021,$42.2194,2342773,$41.198,$42.3972,$41.198
02/26/2021,$41.193,3519459,$40.9948,$42.2702,$40.6493
02/25/2021,$40.4867,2835297,$41.1574,$41.4623,$40.1259
02/24/2021,$41.508,2012021,$41.0507,$41.6249,$40.8576
02/23/2021,$40.9338,2556837,$40.6493,$41.0939,$39.1407
02/22/2021,$41.0405,2912333,$40.9897,$41.6553,$40.4155
02/19/2021,$41.0405,1657406,$40.9846,$41.32,$40.6696
02/18/2021,$40.4918,1534294,$39.9989,$40.9186,$39.7194
02/17/2021,$40.2733,1821494,$40.0599,$40.634,$39.9405
02/16/2021,$40.3647,3127714,$41.0405,$41.1117,$39.8719
02/12/2021,$40.6747,1772625,$40.4155,$40.6798,$40.0649
02/11/2021,$40.3952,1559584,$40.568,$40.7102,$39.5573
02/10/2021,$40.4359,4867665,$40.5629,$40.6493,$39.8464
02/09/2021,$40.4409,4284138,$40.2936,$40.6137,$40.0395
02/08/2021,$40.6188,5005635,$40.6493,$41.01,$40.3952
02/05/2021,$40.4511,1792215,$40.3952,$40.6899,$40.2377
02/04/2021,$40.2987,1492027,$39.7194,$40.3139,$39.6573
02/03/2021,$39.506,1379549,$38.9979,$39.8007,$38.9979
02/02/2021,$39.2113,4084336,$39.1148,$39.4958,$38.8302
02/01/2021,$37.5752,1637802,$37.4227,$37.9664,$36.94
01/29/2021,$37.0366,1885844,$37.316,$37.8953,$36.7723
01/28/2021,$37.5599,2649815,$37.5193,$38.2052,$37.0315
01/27/2021,$37.5294,2857668,$37.9105,$38.4847,$37.1992
01/26/2021,$38.6371,1277455,$38.6168,$38.8658,$38.0833
01/25/2021,$38.4542,1361614,$38.7896,$38.8074,$37.3516
01/22/2021,$38.5863,1140098,$38.5203,$38.7083,$38.1239
01/21/2021,$39.0741,2418662,$39.4095,$39.4908,$38.566
01/20/2021,$39.1503,3526956,$38.5863,$39.2164,$38.068
01/19/2021,$38.0376,2482662,$37.8902,$38.1239,$37.753
01/15/2021,$37.7327,3309443,$37.1687,$38.0579,$37.0269
01/14/2021,$37.2195,4386783,$36.2287,$37.5244,$36.2083
01/13/2021,$36.1931,7652823,$37.9817,$38.0985,$35.6596
01/12/2021,$38.9979,1388688,$38.5457,$39.003,$38.4059
01/11/2021,$38.4288,1488872,$38.754,$39.0436,$38.4288
01/08/2021,$39.2367,2688369,$38.9217,$39.3333,$38.4898
01/07/2021,$38.7896,2302356,$38.1087,$38.7946,$37.8699
01/06/2021,$37.6361,2613184,$37.2551,$38.2256,$37.0442
01/05/2021,$37.3262,2053537,$36.5335,$37.5904,$36.3303
01/04/2021,$36.8333,3511241,$37.5447,$37.5447,$36.4268
12/31/2020,$37.2398,1244881,$36.9451,$37.2805,$36.5716
12/30/2020,$36.8384,4401390,$36.4217,$37.1179,$36.3404
12/29/2020,$36.3303,4156734,$37.062,$37.4583,$36.2541
12/28/2020,$37.0162,3189527,$37.3719,$37.4735,$36.8054
12/24/2020,$37.0874,1669706,$37.4786,$37.5447,$36.9629
12/23/2020,$37.2957,1648532,$37.0416,$37.5244,$36.7825
12/22/2020,$36.9553,1300342,$37.4481,$37.5345,$36.8638
12/21/2020,$37.1229,1746642,$36.7469,$37.2652,$36.0915
12/18/2020,$37.0518,5049120,$38.1087,$38.3069,$36.7774
12/17/2020,$37.9613,1841296,$37.687,$38.0172,$37.6682
12/16/2020,$37.5345,1623019,$37.5752,$37.7479,$37.4215
12/15/2020,$37.4685,2008842,$37.2551,$37.5396,$36.777
12/14/2020,$36.8028,2158807,$36.5843,$37.0772,$36.5437
12/11/2020,$36.4014,1463288,$36.437,$36.8603,$36.1524
12/10/2020,$36.6656,2484926,$36.0508,$36.7063,$35.7256
12/09/2020,$36.3455,2363132,$36.6555,$37.0772,$36.0813
12/08/2020,$36.5183,1837621,$35.7307,$36.5437,$35.6392
12/07/2020,$35.7612,3153869,$36.7012,$36.9095,$35.5478
12/04/2020,$36.6352,2565405,$36.0966,$36.7266,$35.8984
12/03/2020,$36.0305,2243600,$35.9848,$36.3354,$35.6138
12/02/2020,$35.8323,2379117,$35.873,$36.127,$35.4004
12/01/2020,$35.8323,3453426,$35.4919,$35.9594,$35.0905
11/30/2020,$35.0752,2402363,$35.6901,$35.7815,$34.557
11/27/2020,$35.4767,1408664,$35.2429,$35.6799,$35.0752
11/25/2020,$35.2378,4444177,$35.4817,$35.558,$34.1708
11/24/2020,$35.7358,2933089,$35.5681,$35.8222,$35.2632
11/23/2020,$35.2531,1485709,$34.8568,$35.4868,$34.8263
11/20/2020,$34.7246,1441322,$34.9025,$35.1565,$34.7044
11/19/2020,$34.8059,2313301,$34.2775,$34.9177,$33.8964
11/18/2020,$34.3486,1281025,$34.7805,$34.9431,$34.2699
11/17/2020,$34.4807,996735,$33.9625,$34.6535,$33.8202
11/16/2020,$34.2216,1435773,$33.805,$34.3029,$33.3375
11/13/2020,$33.5915,1508132,$33.0072,$33.6321,$32.9107
11/12/2020,$32.7328,1221932,$32.9513,$33.246,$32.4889
11/11/2020,$32.9666,998905,$33.1647,$33.1647,$32.555
11/10/2020,$32.8294,1745724,$32.5906,$33.1241,$32.1485
11/09/2020,$32.6414,1507097,$33.5001,$33.5611,$32.616
11/06/2020,$32.8192,761180,$32.8853,$32.9663,$32.2145
11/05/2020,$32.7786,1522211,$32.1129,$32.8243,$32.0113
11/04/2020,$31.6201,1706081,$31.742,$32.0367,$31.1678
11/03/2020,$31.3762,848745,$31.0306,$31.9452,$31.0002
11/02/2020,$30.6343,1118499,$31.0916,$31.2288,$30.5174
10/30/2020,$30.6191,1804966,$30.7105,$30.929,$29.9179
10/29/2020,$30.7512,1799441,$30.7359,$31.0103,$30.3961
10/28/2020,$30.8426,1752377,$31.5235,$31.7268,$30.8274
10/27/2020,$32.3009,946640,$32.9259,$33.0225,$32.2603
10/26/2020,$32.8954,1982266,$34.2216,$34.2902,$32.4889
10/23/2020,$34.6433,1319298,$34.9279,$34.9863,$34.4706
10/22/2020,$34.9482,1014289,$35.7815,$35.7815,$34.4376
10/21/2020,$35.4817,1909626,$35.4258,$35.8527,$35.2404
10/20/2020,$35.2683,750271,$35.6342,$35.7663,$35.248
10/19/2020,$35.3141,1058240,$35.7714,$36.0305,$35.1769
10/16/2020,$35.6443,1516879,$35.9848,$36.1829,$35.6291
10/15/2020,$35.5884,1296632,$35.3293,$35.7714,$34.9838
10/14/2020,$35.8984,1053098,$35.9492,$36.3049,$35.7104
10/13/2020,$35.8273,1605391,$35.5681,$36.0966,$35.3395
10/12/2020,$35.187,791762,$34.8822,$35.3191,$34.8059
10/09/2020,$34.75,1164500,$35.1057,$35.2836,$34.7246
10/08/2020,$34.8872,2481099,$34.2978,$35.1743,$34.2673
10/07/2020,$34.2521,2138931,$34.7094,$34.7348,$34.0793
10/06/2020,$34.2877,1922555,$34.5976,$34.999,$34.1454
10/05/2020,$34.6586,2524576,$34.496,$34.7094,$34.1962
10/02/2020,$34.1251,1001401,$33.4798,$34.3639,$33.3934
10/01/2020,$34.3181,1106757,$34.6433,$34.811,$34.1047
09/30/2020,$34.3944,1665599,$34.75,$34.9975,$34.1301
